20230602	15:04:56	00a105f0-4c32-497f-a655-d2331b3689b9	POST 	 undefined /register
20230602	15:05:08	cf99c569-4663-47be-a969-2cb1c05fc38c	POST 	 undefined /auth
20230602	15:08:03	c686efd2-4865-457d-8a70-acbd989a85e1	POST 	 undefined /auth
20230602	15:08:35	e102cc6f-15c7-4430-9c32-9148195f364a	POST 	 undefined /auth
20230602	15:08:53	8ceabbdd-d835-4c46-bef3-2a2a9518d451	POST 	 undefined /auth
20230602	16:55:08	c5e22662-fc7b-494b-8c27-9d3c0ca9ec89	POST 	 undefined /register
20230602	16:55:34	50453b49-be40-48a4-b717-941347b7b240	POST 	 undefined /auth
20230602	17:06:10	72cf7e70-d065-472c-af0e-92b81a25a07a	POST 	 undefined /auth
20230602	17:06:19	21ac130d-c947-4fc3-8c35-586bb2a763d7	POST 	 undefined /auth
20230603	08:47:16	59766221-47e0-4f15-b4ee-3d436455e787	OPTIONS 	 http://localhost:3000 /auth
20230603	08:47:16	b5d98c32-54fd-4f77-9ac9-006ad8fdff36	POST 	 http://localhost:3000 /auth
20230603	08:50:27	91fe103a-020e-4ec4-be6d-a62f547da2af	OPTIONS 	 http://localhost:3000 /auth
20230603	08:50:27	14f60ac6-78bc-4c79-afbf-25f516ec5a17	POST 	 http://localhost:3000 /auth
20230603	08:55:53	2b3f47cf-1d3f-43f4-9e46-53a46ae4c6e7	OPTIONS 	 http://localhost:3000 /auth
20230603	08:55:53	8afbe490-380c-421b-8d29-05ff6bf00a6f	POST 	 http://localhost:3000 /auth
20230603	09:04:20	1a4d796d-2d4e-4fd1-b5a5-f541b4acdbc3	GET 	 http://localhost:3000 /refresh
20230603	09:40:41	70ec72b8-4ba6-4cd7-90c0-5d884d7b3b4d	GET 	 http://localhost:3000 /refresh
20230603	09:40:41	cffc970b-8717-44c7-8557-534e81cc28d8	GET 	 http://localhost:3000 /refresh
20230603	09:43:53	779bf9f4-098b-446e-87f9-b3943db47c33	GET 	 http://localhost:3000 /refresh
20230603	09:43:53	3e48a2dd-29b3-4a3f-bdd0-ff9d78903724	GET 	 http://localhost:3000 /refresh
20230603	09:44:46	9ac5f62c-21b7-446c-a142-58080c91f083	GET 	 http://localhost:3000 /refresh
20230603	09:44:47	e3308a49-f078-414d-9003-1637881c283e	GET 	 http://localhost:3000 /refresh
20230603	09:48:21	e0e55cab-d512-4a8a-be18-932b0ad329fd	GET 	 http://localhost:3000 /refresh
20230603	09:48:22	2d022fe5-887b-4113-a181-94f8ca60deb5	GET 	 http://localhost:3000 /refresh
20230603	09:58:03	af3e2d85-61ac-4304-818d-c961ad45516b	POST 	 undefined /register
20230603	09:58:47	bb5fc032-8718-4a3d-b6c5-a26697c4a145	GET 	 http://localhost:3000 /refresh
20230603	09:58:47	9eb0fdac-f55f-4d72-89eb-3c66bed90795	GET 	 http://localhost:3000 /refresh
